count,PRVS[@etichetta='Country'],PRVR[@etichetta='Region / Federal State'],PRVP[@etichetta='District'],PRVC[@etichetta='Town / Municipality']
14943,Italia,Lazio,Roma,Roma
11427,Regno Unito,,,Londra
9857,Italia,Toscana,Firenze,Firenze
9600,Stati Uniti d'America,New York,,New York (NY)
6142,Italia,Lombardia,Milano,Milano
3755,Francia,Île-de-France,,Parigi
3204,Italia,Veneto,Venezia,Venezia
2658,Italia,Emilia Romagna,Bologna,Bologna
1685,Italia,Lombardia,Bergamo,Bergamo
1597,Italia,Campania,Napoli,Napoli
1533,Italia,Toscana,Siena,Siena
1421,Stati Uniti d'America,District of Columbia,,Washington (DC)
1177,Germania,,,Berlino
1113,Austria,,,Vienna
1068,Italia,Piemonte,Torino,Torino
1049,Italia,Liguria,Genova,Genova
917,Italia,Umbria,Perugia,Perugia
910,Città del Vaticano,,,Città del Vaticano
808,Italia,Veneto,Verona,Verona
