count,PVCS[@etichetta='Country'],PVCR[@etichetta='Region / Federal State'],PVCP[@etichetta='District']
15453,Italia,Lazio,Roma
10738,Italia,Toscana,Firenze
6389,Italia,Lombardia,Milano
3527,Italia,Umbria,Perugia
3261,Italia,Veneto,Venezia
2977,Italia,Emilia Romagna,Bologna
2218,Italia,Toscana,Siena
1824,Italia,Lombardia,Bergamo
1691,Italia,Campania,Napoli
1198,Italia,Piemonte,Torino
1075,Italia,Liguria,Genova
907,Italia,Toscana,Pisa
901,Italia,Marche,Pesaro e Urbino
849,Italia,Veneto,Verona
794,Italia,Emilia Romagna,Ferrara
678,Italia,Toscana,Arezzo
667,Italia,Veneto,Padova
617,Italia,Emilia Romagna,Modena
584,Italia,Marche,Macerata
